day,policy,health,svi,eff_tss,flagged_frac,energy_kwh
43,ad,0.8655169032734462,112.15599426282442,11.580028184711336,0.26666666666666666,1082.0592380104608
44,ad,0.8780480155205536,109.54411558237481,10.92222170222773,0.36666666666666664,1072.3856132680548
45,ad,0.8876969719508262,107.5329689984286,10.415710710715352,0.36666666666666664,1064.9369222164023
46,ad,0.8951266684021362,105.98438612879004,10.025697247250823,0.26666666666666666,1059.2014301066297
47,ad,0.9008475346696448,104.79197731916834,9.725386880383137,0.23333333333333334,1054.785101182105
48,ad,0.9052526016956265,103.87382253575961,9.494147897895015,0.3333333333333333,1051.3845279102206
49,ad,0.9086445033056324,103.1668433525349,9.31609388137916,0.2,1048.76608649087
50,ad,0.911256267545337,102.62246938145188,9.178992288661954,0.2,1046.7498865979699
51,ad,0.9132673260099095,102.20330142371793,9.073424062269703,0.1,1045.1974126804369
52,ad,0.9148158410276302,101.88054209626281,8.992136527947673,0.3333333333333333,1044.0020077639365
53,ad,0.9160081975912753,101.63201741412237,8.929545126519708,0.3,1043.081545978231
54,ad,0.916926312145282,101.44065340887421,8.881349747420172,0.3333333333333333,1042.3727904032378
55,ad,0.9176332603518671,101.29330312483316,8.844239305513536,0.3333333333333333,1041.8270486104932
56,ad,0.9181776104709377,101.17984340612153,8.815664265245422,0.26666666666666666,1041.4068274300798
57,ad,0.918596760062622,101.09247942271358,8.793661484238974,0.3,1041.0832571211615
58,ad,0.918919505248219,101.02520915548945,8.776719342864007,0.2,1040.8341079832942
59,ad,0.9191680190411287,100.97341104972688,8.763673894005288,0.16666666666666666,1040.6422631471366
60,ad,0.9193593746616691,100.9335265082897,8.753628898384076,0.3,1040.4945426232953
61,ad,0.9195067184894852,100.90281541138307,8.745894251755736,0.26666666666666666,1040.3807978199372
62,ad,0.9196201732369036,100.87916786676496,8.739938573851916,0.3,1040.2932143213518
63,ad,0.9197075333924157,100.86095925740901,8.735352701865974,0.3333333333333333,1040.225775027441
64,ad,0.9197748007121601,100.84693862820495,8.731821580436803,0.3,1040.1738467711295
65,ad,0.9198265965483633,100.83614274371782,8.729102616936338,0.3,1040.1338620137697
66,ad,0.9198664793422398,100.82782991266271,8.727009015040979,0.3,1040.1030737506028
67,ad,0.9198971890935246,100.82142903275029,8.725396941581554,0.23333333333333334,1040.0793667879639
68,ad,0.919920835602014,100.81650035521771,8.724155645017795,0.13333333333333333,1040.0611124267323
69,ad,0.9199390434135508,100.81270527351765,8.723199846663704,0.26666666666666666,1040.047056568584
70,ad,0.9199530634284342,100.80978306060858,8.722463881931048,0.2,1040.0362335578095
71,ad,0.9199638588398943,100.8075329566686,8.721897189086906,0.26666666666666666,1040.0278998395133
72,ad,0.9199721713067186,100.80580037663482,8.721460835596918,0.36666666666666664,1040.0214828764254
73,ad,0.9199785719061734,100.8044662900088,8.721124843409626,0.23333333333333334,1040.0165418148474
74,ad,0.9199835003677536,100.80343904330677,8.720866129425408,0.16666666666666666,1040.0127371974324
75,ad,0.9199872952831702,100.80264806334621,8.720666919657564,0.23333333333333334,1040.009807642023
76,ad,0.9199902173680411,100.80203900877657,8.720513528136323,0.23333333333333334,1040.0075518843578
77,ad,0.9199924673733917,100.80157003675797,8.720395416664967,0.3,1040.0058149509555
78,ad,0.9199941998775116,100.80120892830364,8.720304470832026,0.3,1040.0044775122358
79,ad,0.919995533905684,100.80093087479379,8.720234442540658,0.3333333333333333,1040.0034476844216
80,ad,0.9199965611073767,100.8007167735912,8.720180520756305,0.3,1040.0026547170046
81,ad,0.9199973520526801,100.80055191566522,8.720139000982352,0.26666666666666666,1040.0020441320935
82,ad,0.9199979610805636,100.80042497506223,8.720107030756413,0.36666666666666664,1040.001573981712
83,ad,0.919998430032034,100.80032723079792,8.720082413682439,0.2,1040.0012119659184
84,ad,0.9199987911246662,100.80025196771439,8.720063458535474,0.13333333333333333,1040.000933213757
85,ad,0.9199990691659929,100.80019401514008,8.720048863072314,0.16666666666666666,1040.0007185745928
86,ad,0.9199992832578145,100.80014939165787,8.720037624565688,0.3333333333333333,1040.0005533024366
87,ad,0.9199994481085172,100.80011503157655,8.720028970915576,0.26666666666666666,1040.0004260428761
88,ad,0.9199995750435582,100.80008857431395,8.720022307604994,0.2,1040.0003280530145
89,ad,0.9199996727835399,100.80006820222175,8.720017176855848,0.26666666666666666,1040.000252600821
